Ключ проблемы,Идентификатор проблемы,Идентификатор родителя,Статус,Создано,Обновленo,Исполнитель,Пользовательское поле (Story Points),Тема,Создатель
DE-217,95103,,Cancel,02.09.2021 10:39 ,29.01.2024 11:19 ,permyakovana,,Создать справочник /SBR/SOURCE_VTB_DEAL_SBR_FOR_COMPETITION_Q2_2021,klekovkinve
DE-216,95095,,Cancel,02.09.2021 10:19 ,29.01.2024 11:19 ,permyakovana,,"Обновить справочник ""ODS_SBR_DICT"".""VTB_COMPETITION_CORRECTION_2020""",klekovkinve
DE-215,95083,,Cancel,02.09.2021 10:01 ,29.01.2024 11:19 ,permyakovana,,"Обновить справочник ""ODS_SBR_DICT"".""VTB_COMPETITION_2020""",klekovkinve
DE-214,95034,,Cancel,01.09.2021 18:56 ,29.01.2024 11:19 ,permyakovana,,Обновить справочник SBR/MAP_EMPLOYEE_VTB_TO_INN_M2,klekovkinve
DE-213,95019,,Cancel,01.09.2021 18:06 ,29.01.2024 11:19 ,permyakovana,,Удалить справочник M2/SALES_EMPLOYEE_REGION,klekovkinve
DE-212,95017,,Cancel,01.09.2021 17:57 ,29.01.2024 11:19 ,permyakovana,,Обновить справочник ANALYTICS_DATA/DICT/M2/EMPLOYEE_REGION_M2,klekovkinve
DE-209,94752,,Готово,31.08.2021 18:02 ,29.01.2024 11:19 ,permyakovana,,Обновить справочник ANALYTICS_DATA/DICT/SBR/VTB_MANAGER_SECOND_PART,klekovkinve
DE-208,94744,,Готово,31.08.2021 17:52 ,29.01.2024 11:19 ,permyakovana,,Обновить справочник ANALYTICS_DATA/DICT/SBR/VTB_MANAGER_FIRST_PART,klekovkinve
DE-207,94622,,Готово,31.08.2021 13:52 ,04.04.2022 10:36 ,permyakovana,,"Обновить справочник ""ODS_REPAIR_DICT"".""NOVOSTROYKI""",klekovkinve
DE-206,94560,,Готово,31.08.2021 12:13 ,01.02.2023 12:33 ,permyakovana,,Загрузить справочник DICT/M2/FACEBOOK_COMMENT,klekovkinve
ANL-1061,94371,,Закрыт,30.08.2021 15:35 ,28.10.2021 18:44 ,klekovkinve,,Перенос справочников с OBJ на ODS,klekovkinve
DE-205,94210,,Готово,27.08.2021 19:14 ,01.02.2023 12:33 ,permyakovana,,Создать справочник LIST_FO_UD,klekovkinve
DE-204,94195,,Готово,27.08.2021 17:46 ,30.08.2021 16:14 ,permyakovana,,"Обновить справочник ""ODS_M2_DICT"".""TOTAL_PLAN_M2""",klekovkinve
DE-203,94153,,Готово,27.08.2021 15:29 ,30.08.2021 16:53 ,permyakovana,,Обновить справочник ANALYTICS_DATA/DICT/EREGISTRATION/OTHER_REQUEST_TYPE,klekovkinve
DE-202,94152,,Готово,27.08.2021 15:25 ,01.02.2023 12:33 ,permyakovana,,Загрузить справочник DICT/M2/VTB_SCTRUCTURE_FOR_COMPETITION_Q2_2021,klekovkinve
DE-201,94099,,Готово,27.08.2021 11:51 ,01.02.2023 12:33 ,permyakovana,,"Обновить справочник ""ODS_M2_DICT"".""REGION_CADASTRAL""",klekovkinve
DE-200,94048,,Готово,26.08.2021 20:29 ,01.02.2023 12:33 ,permyakovana,,Загрузка справочника DICT/SBR/SEGMENT,klekovkinve
DE-197,93652,,Готово,25.08.2021 13:29 ,01.02.2023 12:33 ,permyakovana,,Замена справочника DICT/M2/SALES_TARGET,klekovkinve
ANL-1054,93202,,Закрыт,23.08.2021 12:50 ,14.09.2021 17:51 ,klekovkinve,,Тех. долг вью по продажам,klekovkinve
DE-195,92393,,Готово,17.08.2021 18:10 ,01.02.2023 12:33 ,permyakovana,,Загрузить справочник,klekovkinve
DE-181,91636,,Готово,13.08.2021 11:43 ,01.02.2023 12:33 ,permyakovana,,Загрузить справочник M2/SALES_TARGET,klekovkinve
DE-179,90955,,Готово,10.08.2021 14:44 ,01.02.2023 12:33 ,permyakovana,,"Обновить справочник ""OBJ_HAND"".""DICT_REGION_CADASTRAL""",klekovkinve
ANL-1035,90752,,Закрыт,09.08.2021 18:33 ,04.02.2022 13:02 ,klekovkinve,,Определить недостающие сегменты в отчете ЭР,klekovkinve
SAD-5934,89445,,Закрыт,02.08.2021 14:30 ,11.04.2022 19:08 ,koptsevey,,Установка ПО,klekovkinve
SAD-5866,88402,,Закрыт,28.07.2021 09:54 ,11.04.2022 19:08 ,ustinovas,,Дополнительное оборудование,klekovkinve
